title,genre,release_year,runtime,rating,vote_count,director,cast1,cast2,cast3,cast4,overview,gross,poster_link,source,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,TV Movie,War,Western,main_genre
Sin City: A Dame to Kill For,"Crime, Action, Thriller",2014,102.0,6.381,3762,Frank Miller,Jessica Alba,Bruce Willis,Mickey Rourke,Josh Brolin,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,-25600000.0,https://image.tmdb.org/t/p/w500/90LRjhJ5N4zavCB81L5d4TYstRP.jpg,TMDB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Crime
Once Upon a Time in America,"Drama, Crime",1984,229.0,8.413,5312,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",-24500000.0,https://image.tmdb.org/t/p/w500/7jPWSo0yn6gW72LDuZvZq29uqpG.jpg,TMDB,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
Catwoman,"Action, Fantasy, Crime",2004,104.0,4.599,3265,Pitof,Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat — and she's eager to use her new skills... as a vigilante. Before you can say ""cat and mouse"", handsome gumshoe Tom Lone is on her tail, fascinated by both of her personas.",-17897621.0,https://image.tmdb.org/t/p/w500/pvnPgukFyEKgCzyOxyLiwyZ8T1C.jpg,TMDB,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
Almost Famous,"Drama, Music",2000,124.0,7.509,2665,Cameron Crowe,Billy Crudup,Frances McDormand,Kate Hudson,Jason Lee,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",-12613713.0,https://image.tmdb.org/t/p/w500/3rrkyLYbgLj84AYvjhdcJot4JPx.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama
Gremlins 2: The New Batch,"Comedy, Horror, Fantasy",1990,106.0,6.4,2518,Joe Dante,Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",-8517793.0,https://image.tmdb.org/t/p/w500/jN7yvxnIHRozhq2mzWZDE5GPRc0.jpg,TMDB,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Comedy
Blow-Up,"Drama, Mystery, Thriller",1966,111.0,7.363,1214,Michelangelo Antonioni,David Hemmings,Vanessa Redgrave,Sarah Miles,John Castle,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he unknowingly captures a death on film.",-1800000.0,https://image.tmdb.org/t/p/w500/iVtUdWsT6Ed2DK762zZxjaQAdHy.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Drama
Sunshine,"Drama, Science Fiction, Thriller",2007,107.0,6.96,3715,Danny Boyle,Cillian Murphy,Rose Byrne,Chris Evans,Michelle Yeoh,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",-15200000.0,https://image.tmdb.org/t/p/w500/oKGGeJ8qvm0UmClz43VJ31fzPP7.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Drama
The Return of the King,"Animation, Fantasy, Adventure",1980,98.0,6.4,192,Jules Bass,Orson Bean,Roddy McDowall,John Huston,Theodore Gottlieb,Two Hobbits struggle to destroy the Ring in Mount Doom while their friends desperately fight evil Lord Sauron's forces in a final battle.,0.0,https://image.tmdb.org/t/p/w500/sC5j2cUgGe1IQ33WdLYx6G4KiDm.jpg,TMDB,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
The Hobbit,"Family, Fantasy, Animation, Adventure, TV Movie",1977,77.0,6.53,304,"Arthur Rankin, Jr.",Orson Bean,John Huston,Hans Conried,Richard Boone,"Bilbo Baggins the Hobbit was just minding his own business, when his occasional visitor Gandalf the Wizard drops in one night. One by one, a whole group of dwarves drop in, and before he knows it, Bilbo has joined their quest to reclaim their kingdom, taken from them by the evil dragon Smaug. The only problem is that Gandalf has told the dwarves that Bilbo is an expert burglar, but he isn't...",-3000000.0,https://image.tmdb.org/t/p/w500/2ohvyMPhvjftLrM6S6Ljr6QrL0u.jpg,TMDB,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Family
The Fountain,"Drama, Adventure, Science Fiction, Romance",2006,96.0,6.9,2721,Darren Aronofsky,Hugh Jackman,Rachel Weisz,Ellen Burstyn,Mark Margolis,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.",-19695110.0,https://image.tmdb.org/t/p/w500/t18RxTAw8AW0V5f0bKHpezRaGa6.jpg,TMDB,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Drama
Cutthroat Island,"Action, Adventure",1995,124.0,5.8,534,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",-82000000.0,https://image.tmdb.org/t/p/w500/cDYa1i5UzXWztO5ZUp4azv7ycPs.jpg,TMDB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
What's Eating Gilbert Grape,"Romance, Drama",1993,118.0,7.672,3895,Lasse Hallström,Johnny Depp,Juliette Lewis,Leonardo DiCaprio,Mary Steenburgen,"Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.",-1000000.0,https://image.tmdb.org/t/p/w500/8FxWgsfDNosewo7H65oE4QkOb7g.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Romance
A Bronx Tale,"Drama, Crime",1993,121.0,7.867,2417,Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra,"Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",-4712102.0,https://image.tmdb.org/t/p/w500/sDbO6LmLYtyqAoFTPpRcMgPSCEO.jpg,TMDB,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
Over the Top,"Action, Drama",1987,93.0,6.396,1648,Menahem Golan,Sylvester Stallone,Robert Loggia,Susan Blakely,Rick Zumwalt,"Sylvester Stallone stars as hard-luck big-rig trucker Lincoln Hawk and takes us under the glaring Las Vegas lights for all the boisterous action of the World Armwrestling Championship.  Relying on wits and willpower, Hawk tries to rebuild his life by capturing the first-place prize money, and the love of the son he abandoned years earlier into the keeping of his rich, ruthless father-in-law.",-8942420.0,https://image.tmdb.org/t/p/w500/a926UPf4EYbHfjdzf012M5YHiQ5.jpg,TMDB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
The Transformers: The Movie,"Animation, Science Fiction, Action, Adventure, Family",1986,84.0,7.136,498,Nelson Shin,Judd Nelson,Peter Cullen,Frank Welker,Leonard Nimoy,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",-139399.0,https://image.tmdb.org/t/p/w500/j4HTorvJdGOuIgGyE56fMCLmcCg.jpg,TMDB,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Animation
Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy",1998,118.0,7.21,4532,Terry Gilliam,Johnny Depp,Benicio del Toro,Tobey Maguire,Michael Lee Gogin,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",-7800000.0,https://image.tmdb.org/t/p/w500/tisNLcMkxryU2zxhi0PiyDFqhm0.jpg,TMDB,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
Inherit the Wind,Drama,1960,128.0,7.7,401,Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York,"Schoolteacher Bertram Cates is arrested for teaching his students Darwin's theory of evolution. The case receives national attention and one of the newspaper reporters, E.K. Hornbeck, arranges to bring in renowned defense attorney and atheist Henry Drummond to defend Cates. The prosecutor, Matthew Brady is a former presidential candidate, famous evangelist, and old adversary of Drummond.",0.0,https://image.tmdb.org/t/p/w500/7oaHcF0gCOt2lKaT2zajhajP0Zo.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
The 13th Warrior,"Adventure, History, Action",1999,102.0,6.7,1808,John McTiernan,Antonio Banderas,Diane Venora,Dennis Storhøi,Vladimir Kulich,"A Muslim ambassador exiled from his homeland joins a group of Vikings, initially offended by their behavior but growing to respect them. As they travel together, they learn of a legendary evil closing in and must unite to confront this formidable force.",-58301101.0,https://image.tmdb.org/t/p/w500/pj1IQQ7ajwaOrjjTCxyM1L4mSnX.jpg,TMDB,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
Twin Peaks: Fire Walk with Me,"Drama, Mystery, Horror",1992,135.0,7.364,1870,David Lynch,Sheryl Lee,Ray Wise,Moira Kelly,Chris Isaak,"In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.",-5751611.0,https://image.tmdb.org/t/p/w500/mxsGXqetGnirf99qapYd5MMY1VL.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Drama
An Unfinished Life,Drama,2005,108.0,6.815,613,Lasse Hallström,Robert Redford,Jennifer Lopez,Morgan Freeman,Becca Gardner,"Stoic and heartbroken, Einar Gilkyson quietly lives in the rugged Wyoming ranchlands alongside his only trusted friend, Mitch Bradley. One day, the woman he blames for the death of his only son arrives at his door broke, desperate and with a granddaughter he's never known. But even as buried anger and accusations resurface, the way is opened for unexpected connection, adventure and forgiveness.",-11381716.0,https://image.tmdb.org/t/p/w500/7ugLG1yF1l8HWYhmdmHHSC3kJ8b.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
The Last Castle,"Action, Drama, Thriller",2001,131.0,7.162,1234,Rod Lurie,Robert Redford,James Gandolfini,Mark Ruffalo,Delroy Lindo,A court-martialed general rallies together 1200 inmates to rise against the system that put him away.,-44357293.0,https://image.tmdb.org/t/p/w500/9OHuF3SFLc16XnSkosAAlFbI1YD.jpg,TMDB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action
Joseph,"Adventure, Drama, TV Movie",1995,185.0,8.179,195,Roger Young,Ben Kingsley,Paul Mercurio,Dominique Sanda,Lesley Ann Warren,"Joseph, favored son of Jacob and great-grandson of Abraham, is sold into slavery by his jealous brothers. Rising to become prime minister of Egypt. Joseph governed the country during a seven year famine, during which his brothers visit Egypt seeking grain, only to encounter their brother, presumed long dead.",-10000000.0,https://image.tmdb.org/t/p/w500/lBscKQzEJY1XF2ReZT2vIGrMQ1k.jpg,TMDB,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Adventure
The Greatest Story Ever Told,"Drama, History",1965,199.0,6.4,177,George Stevens,Max von Sydow,Michael Anderson Jr.,Carroll Baker,Ina Balin,"From his birth in Bethlehem to his death and eventual resurrection, the life of Jesus Christ is given the all-star treatment in this epic retelling. Major aspects of Christ's life are touched upon, including the execution of all the newborn males in Egypt by King Herod; Christ's baptism by John the Baptist; and the betrayal by Judas after the Last Supper that eventually leads to Christ's crucifixion and miraculous return.",-4500000.0,https://image.tmdb.org/t/p/w500/c21ON7BZn0jwdNl6ibZ1vhXJmpy.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Drama
Basic Instinct 2,"Crime, Mystery, Thriller",2006,114.0,5.045,751,Michael Caton-Jones,Sharon Stone,David Morrissey,Charlotte Rampling,David Thewlis,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",-31370522.0,https://image.tmdb.org/t/p/w500/kbxuAUIKrZHXXRxVvVYw95HWPKJ.jpg,TMDB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Crime
The Searchers,Western,1956,119.0,7.7,1377,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",-3750000.0,https://image.tmdb.org/t/p/w500/jLBmgW0epNzJ1N9uzaVCjbyT94v.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Western
Shriek If You Know What I Did Last Friday the Thirteenth,Comedy,2000,86.0,4.682,297,John Blanchard,Tiffani Thiessen,Tom Arnold,Coolio,Majandra Delfino,"In this horror parody, a masked serial killer menaces the town of Bulimia Falls with various sharp objects. Attention-seeking television personality Hagitha Utslay is soon on the scene, reporting on the ever-growing body count. Former mall security guard Doughy shows up to protect the teenage population, but he's clearly not much help, allowing the murderer to pick off even more hapless kids as numerous scary movies are referenced.",-5000000.0,https://image.tmdb.org/t/p/w500/m0jr23r30h8DUrX3kIu7rO3NIQp.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
The In-Laws,"Action, Comedy",2003,98.0,5.615,273,Andrew Fleming,Michael Douglas,Albert Brooks,Ryan Reynolds,Candice Bergen,"Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers.",-13200000.0,https://image.tmdb.org/t/p/w500/uziAQLzimrP8eW3w37F8lo8CnD3.jpg,TMDB,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
Casper's Haunted Christmas,"Animation, Family, Fantasy",2000,84.0,5.376,181,Owen Hurley,Brendon Ryan Barrett,Kathleen Barr,Ian James Corlett,Graeme Kingston,"Kibosh, supreme ruler of all ghosts, decrees that casper must scare at least one person before Christmas Day so Casper visits Kriss, Massachusetts where he meets the Jollimore family and sets out to complete his mission. As usual, kindhearted Casper has a ghastky time trying to scare anyone; so The Ghostly Trio, fed up with his goody-boo-shoes behavior, secretly hires Casper's look-alike cousin Spooky to do the job-with hilarious results.",0.0,https://image.tmdb.org/t/p/w500/3BFR30kh0O3NKR1Sfea3HXCG6hw.jpg,TMDB,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
Van Helsing: The London Assignment,"Action, Animation, Fantasy, Horror",2004,30.0,6.173,146,Sharon Bridgeman,Hugh Jackman,Robbie Coltrane,David Wenham,Grey DeLisle,"It tells of the events before the film, in which monster hunter Gabriel Van Helsing travels to London to investigate a series of horrific, and decidedly supernatural murders, being committed by the mad scientist Dr. Jekyll, in the form of his evil alter-ego, Mr. Hyde.",0.0,https://image.tmdb.org/t/p/w500/2MFdzeCL2YTqbbBgiZT8e51MUGO.jpg,TMDB,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Action
Running Scared,"Action, Crime, Drama, Thriller",2006,122.0,7.0,1015,Wayne Kramer,Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,"A low-ranking thug is entrusted by his boss to dispose of a gun that killed corrupt cops, but things spiral out of control when the gun ends up in wrong hands.",-7500000.0,https://image.tmdb.org/t/p/w500/wVlwZbwJlI5C33STslTyVNRGjg6.jpg,TMDB,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action
Speed Racer,"Family, Action, Adventure, Comedy",2008,135.0,6.3,1524,Lana Wachowski,Emile Hirsch,Christina Ricci,John Goodman,Susan Sarandon,"Speed Racer is a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, Speed must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities.",-26100000.0,https://image.tmdb.org/t/p/w500/x800OyHuJ9JDuhHLtdPLkH1vBjw.jpg,TMDB,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Family
American Pie Presents: Band Camp,Comedy,2005,94.0,5.473,2041,Steve Rash,Tad Hilgenbrink,Arielle Kebbel,Jason Earles,Crystle Lightning,"Everyone has 'moved on', except for Sherman and Jim Levenstein's still understanding father. Little Matt Stiffler wants to join his older brother Steve's business and, after everything Matt has heard from Jim's band-geek wife, he plans to go back to band camp and make a video of his own.",-7000000.0,https://image.tmdb.org/t/p/w500/6BgKeWEGROpWwEWvpw7vwfTCr9C.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
American Pie Presents: The Naked Mile,Comedy,2006,97.0,5.51,2008,Joe Nussbaum,John White,Jessy Schram,Steve Talley,Christopher McDonald,"When Erik Stifler realizes that he's the only Stifler family member who might graduate high school a virgin, he decides to live up to his legacy. After some well-meaning advice from Jim's dad, Erik's ready to take his chances at the annual and infamous Naked Mile race, where his devoted friends and some uninhibited sorority girls will create the most outrageous weekend ever.",0.0,https://image.tmdb.org/t/p/w500/sreeL5kKj47oofEGVtDKTAcUDY6.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
Dungeons & Dragons: Wrath of the Dragon God,"Action, Adventure, Fantasy, TV Movie",2005,105.0,4.5,123,Gerry Lively,Bruce Payne,Mark Dymond,Clemency Burton-Hill,Ellie Chidzey,"Due to a curse from his former master Profion, Damodar survived his death by Ridley Freeborn as an undead entity in pursuit of an evil artifact for some hundred years, so that he might be capable of unleashing unstoppable destruction on Izmir and the descendants of those who caused his demise.",0.0,https://image.tmdb.org/t/p/w500/m2lMUxyFDi1RXogMffLfQW3CjTE.jpg,TMDB,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Action
The Avengers,"Action, Adventure, Thriller, Science Fiction, Comedy",1998,89.0,4.399,695,Jeremiah S. Chechik,Ralph Fiennes,Uma Thurman,Sean Connery,Patrick Macnee,"British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel, the only suspect, but simultaneously falls for her and joins forces with her to combat Sir August.",-11400000.0,https://image.tmdb.org/t/p/w500/1p5thyQ4pCy876HpdvFARqJ62N9.jpg,TMDB,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Action
The Crow: Salvation,"Action, Thriller, Horror",2000,101.0,5.6,335,Bharat Nalluri,Eric Mabius,Kirsten Dunst,Jodi Lyn O'Keefe,William Atherton,"Alex Corvis, a man wrongly executed for the murder of his girlfriend, returns from the dead and sets out to find the real killer.",-10000000.0,https://image.tmdb.org/t/p/w500/wA8nRfRyv17CCIn0xFsH9aZe7jw.jpg,TMDB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Action
Martyrs,"Horror, Drama, Thriller",2008,99.0,7.315,2652,Pascal Laugier,Morjana Alaoui,Mylène Jampanoï,Catherine Bégin,Robert Toupin,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",-5400000.0,https://image.tmdb.org/t/p/w500/5yfPA9lXqONtLMgZks87ECob1A5.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Horror
Children of Men,"Drama, Action, Thriller, Science Fiction",2006,109.0,7.611,6988,Alfonso Cuarón,Clive Owen,Clare-Hope Ashitey,Chiwetel Ejiofor,Julianne Moore,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",-5404536.0,https://image.tmdb.org/t/p/w500/k9IAS4TehZFcKi4HVByxZNPfqex.jpg,TMDB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Drama
Bound by Honor,"Crime, Action, Drama, Thriller",1993,180.0,8.123,1296,Taylor Hackford,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",-30500000.0,https://image.tmdb.org/t/p/w500/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg,TMDB,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Crime
The Lion King II: Simba's Pride,"Family, Adventure, Animation, Action",1998,81.0,6.953,4347,Darrell Rooney,Matthew Broderick,Neve Campbell,Jason Marsden,Nathan Lane,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?",0.0,https://image.tmdb.org/t/p/w500/sWR1x6UCMCGN9xEf8RGhPS934X0.jpg,TMDB,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Family
Three,"Drama, Thriller",2006,95.0,5.434,228,Stewart Raffill,Billy Zane,Kelly Brook,Juan Pablo Di Pace,Todd Collins,"After a yachting accident, a millionaire and his wife are shipwrecked on a desert island along with their former deckhand, Manuel.",-9000000.0,https://image.tmdb.org/t/p/w500/v45dAZ1vI4NUqcYcLUmGVXHGYFj.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Drama
The World's Fastest Indian,"Drama, Adventure, History",2005,127.0,7.638,742,Roger Donaldson,Anthony Hopkins,Walton Goggins,Diane Ladd,Bruce Greenwood,"The life story of New Zealander Burt Munro, who spent years building a 1920 Indian motorcycle—a bike which helped him set the land-speed world record at Utah's Bonneville Salt Flats in 1967.",-6700000.0,https://image.tmdb.org/t/p/w500/i7obsEYXjo725H9vneFqxxUiZw7.jpg,TMDB,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Drama
The Fox and the Hound 2,"Adventure, Animation, Comedy, Family",2006,69.0,6.013,644,Jim Kammerud,Reba McEntire,Patrick Swayze,Jonah Bobo,Harrison Fahn,"Best friends Tod, a fox kit, and Copper, a hound puppy, visit a country fair when they see a band of dogs called ""The Singin' Strays"". The band has five members: Dixie, Cash, Granny Rose, and twin brothers Waylon and Floyd. It is important that they perform well because a talent scout is visiting.",-24000000.0,https://image.tmdb.org/t/p/w500/uTrVvEtN4Gq7l0Zxd8KRYyiTvm3.jpg,TMDB,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
Deck the Halls,"Comedy, Family",2006,93.0,5.573,649,John Whitesell,Danny DeVito,Matthew Broderick,Kristin Davis,Kristin Chenoweth,"Determined to unseat Steve Finch's reign as the town's holiday season king, Buddy Hall plasters his house with so many decorative lights that it'll be visible from space! When their wives bond, and their kids follow suit, the two men only escalate their rivalry - and their decorating.",-3768930.0,https://image.tmdb.org/t/p/w500/muRplVEe8xU1jVlq9WpQSOamb6s.jpg,TMDB,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
Brother Bear 2,"Adventure, Animation, Family",2006,73.0,6.655,1459,Ben Gluck,Patrick Dempsey,Mandy Moore,Jeremy Suarez,Rick Moranis,"Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay.",0.0,https://image.tmdb.org/t/p/w500/yaA8q2zHHUgFWdJNxXyAdU71SzM.jpg,TMDB,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
Cursed,"Horror, Comedy",2005,99.0,5.434,682,Wes Craven,Christina Ricci,Jesse Eisenberg,Joshua Jackson,Judy Greer,"A werewolf loose in Los Angeles changes the lives of three young adults who, after being mauled by the beast, learn that the only way to break the curse put upon them is to kill the one who started it all.",-15700000.0,https://image.tmdb.org/t/p/w500/em45jL4CfTMyj5V83kj7rhdorJu.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Horror
The Messenger: The Story of Joan of Arc,"Adventure, Drama, Action, History, War",1999,158.0,6.391,1417,Luc Besson,Milla Jovovich,John Malkovich,Faye Dunaway,Dustin Hoffman,"In 1429, a French teenager stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. As she reclaims God's diminished kingdom, this courageous young woman has various amazing victories until her violent and untimely death.",-18023683.0,https://image.tmdb.org/t/p/w500/bR16gmwgnCD5e5UWPZHc1BsOsV0.jpg,TMDB,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure
