title,genre,release_year,runtime,rating,vote_count,director,cast1,cast2,cast3,cast4,overview,gross,poster_link,source,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,TV Movie,War,Western,main_genre
All About Sex,"Comedy, Drama, Romance",2020,75.0,6.103,34,Dakota Gorman,Natalee Linez,Emma Deckers,Dakota Gorman,Dillon Lane,"Three friends in their mid-20s struggle to navigate their professional and personal lives, colliding head on with the messy, hilarious and dreadful growing pangs of adulthood.",0.0,https://image.tmdb.org/t/p/w500/cNTwgukBFEYtYNMGsKxgrCFm1xF.jpg,TMDB,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
The Requin,"Horror, Mystery, Thriller",2022,89.0,4.8,329,Le Van Kiet,Alicia Silverstone,James Tupper,Deirdre O'Connell,Danny Chung,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",-8369507.0,https://image.tmdb.org/t/p/w500/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Horror
Something in the Water,"Thriller, Horror",2024,86.0,6.013,151,Hayley Easton Street,Hiftu Quasem,Lauren Lyle,Natalie Mitson,Nicole Rieko Setsuko,"After lesbian couple Meg and Kayla split following a traumatic homophobic incident, their three friends are intent on mending the rift during the wedding of Lizzie at a paradise resort. But a pre-wedding boat excursion turns to disaster and the wedding breakfast is likely to be the five girls!",0.0,https://image.tmdb.org/t/p/w500/1iWGGxHEwswZGvPSoMZlLFf0PNq.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Thriller
Bird Box Barcelona,"Thriller, Science Fiction, Horror",2023,112.0,5.911,671,Àlex Pastor,Mario Casas,Georgina Campbell,Diego Calva,Naila Schuberth,"After a mysterious force decimates the world’s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.",-19800000.0,https://image.tmdb.org/t/p/w500/iTGBHdL12QEpLyRVlykDuiYxzAG.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Thriller
Descendants: The Royal Wedding,"Animation, Family, Comedy, Drama",2021,22.0,6.683,153,Salvador Simó,Dove Cameron,Sofia Carson,Booboo Stewart,Mitchell Hope,"Happily-ever-after continues for Auradon's power couple as they prepare to say ""I do"" at an epic celebration with their friends and family, but Hades threatens to ruin it all.",0.0,https://image.tmdb.org/t/p/w500/tK5xU4x7w9npLUYT5xZJ4RvVlsM.jpg,TMDB,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
Stream,"Horror, Action, Thriller",2024,123.0,7.667,3,Michael Leavy,Tim Curry,Jason Leavy,David Howard Thornton,Liana Pirraglia,"As the Keenan's try to bring their family closer together, they unwittingly enter themselves into a game of life or death. With four deranged killers patrolling the halls of their hotel and competing for the most creative kills, the odds are definitely stacked against them.",-75000.0,https://image.tmdb.org/t/p/w500/az0k8pzdeqrrEO9iu8vL081bjA0.jpg,TMDB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Horror
Apartment 7A,"Horror, Thriller",2024,104.0,6.2,4,Natalie Erika James,Julia Garner,Dianne Wiest,Kevin McNally,Jim Sturgess,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",0.0,https://image.tmdb.org/t/p/w500/oyjEPno8omeDYVNqUZS2RiEpuRC.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Horror
God Is a Bullet,"Thriller, Action, Crime",2023,155.0,6.141,188,Nick Cassavetes,Maika Monroe,Nikolaj Coster-Waldau,Karl Glusman,January Jones,"Vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a cult. Frustrated by the botched official investigations, he quits the force and infiltrates the cult to hunt down the leader with the help of the cult’s only female victim escapee, Case Hardin.",0.0,https://image.tmdb.org/t/p/w500/5kiLS9nsSJxDdlYUyYGiSUt8Fi8.jpg,TMDB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Thriller
The Valet,"Comedy, Romance",2022,124.0,7.521,540,Richard Wong,Eugenio Derbez,Samara Weaving,Max Greenfield,Betsy Brandt,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",0.0,https://image.tmdb.org/t/p/w500/q7FmdJHKMLIC4XgWfcFRIu2iVdL.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
The Resort,Horror,2021,75.0,5.727,244,Taylor Chien,Bianca Haase,Brock O'Hurn,Michael Vlamis,Michelle Randolph,"Four friends head to Hawaii to investigate reports of a haunting at an abandoned resort in hopes of finding the infamous Half-Faced Girl. When they arrive, they soon learn you should be careful what you wish for.",0.0,https://image.tmdb.org/t/p/w500/bXZUVJP8Fr3RId7SSsV4RXvjnIh.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Horror
Monster Pets: A Hotel Transylvania Short,"Animation, Comedy, Fantasy",2021,6.0,7.4,394,Jennifer Kluska,Brian Hull,Jennifer Kluska,Derek Drymon,Genndy Tartakovsky,Drac tries out some new monster pets to help occupy Tinkles for playtime.,0.0,https://image.tmdb.org/t/p/w500/dkokENeY5Ka30BFgWAqk14mbnGs.jpg,TMDB,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
Lady Chatterley's Lover,"Drama, Romance",2022,126.0,6.644,409,Laure de Clermont-Tonnerre,Emma Corrin,Jack O'Connell,Matthew Duckett,Joely Richardson,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,0.0,https://image.tmdb.org/t/p/w500/aSgl2DxPG3DuQXoaHr500KeULmT.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Drama
The Magic Flute,"Adventure, Fantasy, Music, Family",2022,125.0,6.5,102,Florian Sigl,Jack Wolfe,F. Murray Abraham,Niamh McCormack,Ellie Courtiour,"A seventeen year old travels from London to the Austrian Alps to attend the legendary Mozart boarding school. There, he discovers a centuries-old forgotten passageway into the fantastic world of Mozart's ""The Magic Flute"".",-6008000.0,https://image.tmdb.org/t/p/w500/A0rKADffll1kdXQYTXNUeZCFvfo.jpg,TMDB,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Adventure
Memory,"Action, Thriller, Crime",2022,114.0,6.807,1468,Martin Campbell,Liam Neeson,Guy Pearce,Taj Atwal,Harold Torres,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",-16100000.0,https://image.tmdb.org/t/p/w500/4Q1n3TwieoULnuaztu9aFjqHDTI.jpg,TMDB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action
The In Between,"Romance, Science Fiction, Drama",2022,116.0,7.366,699,Arie Posin,Joey King,Kyle Allen,Kim Dickens,John Ortiz,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",0.0,https://image.tmdb.org/t/p/w500/7RcyjraM1cB1Uxy2W9ZWrab4KCw.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Romance
After Everything,"Romance, Drama",2023,93.0,6.948,822,Castille Landon,Hero Fiennes Tiffin,Josephine Langford,Mimi Keene,Stephen Moyer,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",-3400000.0,https://image.tmdb.org/t/p/w500/uQxjZGU6rxSPSMeAJPJQlmfV3ys.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Romance
No One Will Save You,"Horror, Science Fiction, Thriller",2023,93.0,6.695,1117,Brian Duffield,Kaitlyn Dever,Elizabeth Kaluev,Zack Duhame,Lauren L. Murray,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,-22800000.0,https://image.tmdb.org/t/p/w500/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Horror
The Inheritance,Horror,2024,84.0,6.3,37,Alejandro Brugués,Bob Gunton,Peyton List,Briana Middleton,Rachel Nichols,"Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone – or something – is coming to kill him. To ensure his family will help protect him from whatever’s coming, Abernathy puts each of their inheritances on the line – they’ll get nothing if he’s found dead by dawn.",-14000000.0,https://image.tmdb.org/t/p/w500/3qQok7BPKVcM0DA9Zu5OeMzzmk6.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Horror
