,movie_id,title,genre,release_year,runtime,rating,vote_count,director,cast,overview,gross,poster_link
407,6977,No Country for Old Men,"['Crime', 'Drama', 'Thriller']",2007,122,7.944,11833,Joel Coen,"['Javier Bardem', 'Tommy Lee Jones', 'Josh Brolin', 'Woody Harrelson']","Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",146627166,/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg
408,7092,Van Helsing: The London Assignment,"['Action', 'Animation', 'Fantasy', 'Horror']",2004,30,6.173,146,Sharon Bridgeman,"['Hugh Jackman', 'Robbie Coltrane', 'David Wenham', 'Grey DeLisle']","It tells of the events before the film, in which monster hunter Gabriel Van Helsing travels to London to investigate a series of horrific, and decidedly supernatural murders, being committed by the mad scientist Dr. Jekyll, in the form of his evil alter-ego, Mr. Hyde.",0,/2MFdzeCL2YTqbbBgiZT8e51MUGO.jpg
409,7211,Dan in Real Life,"['Comedy', 'Romance', 'Drama']",2007,98,6.549,1182,Peter Hedges,"['Steve Carell', 'Juliette Binoche', 'Dane Cook', 'Alison Pill']","Advice columnist Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",43474305,/wJkkkG4ditqNzlua0oJzoaICGiz.jpg
410,7214,Coach Carter,"['Drama', 'History']",2005,136,7.586,2903,Thomas Carter,"['Samuel L. Jackson', 'Rob Brown', ""Robert Ri'chard"", 'Rick Gonzalez']","Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",46669554,/y3HOTTyM5nLsdUzXFtFCohG28qj.jpg
411,7220,The Punisher,"['Action', 'Crime', 'Drama']",2004,124,6.35,2779,Jonathan Hensleigh,"['Thomas Jane', 'John Travolta', 'Will Patton', 'Roy Scheider']","When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",21700105,/7rmA1HwYp2GKM85BL0cVwCaosGr.jpg
412,7278,Meet the Spartans,"['Comedy', 'Fantasy']",2008,84,4.046,1638,Jason Friedberg,"['Sean Maguire', 'Carmen Electra', 'Ken Davitian', 'Kevin Sorbo']","The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of thirteen Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",55897593,/DWQOjAPvM8Kk1Qp3Xq0zae0Z6w.jpg
413,7303,Maid in Manhattan,"['Comedy', 'Drama', 'Romance']",2002,105,6.106,1859,Wayne Wang,"['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson', 'Stanley Tucci']","Marisa Ventura is a struggling single mom who works at a posh Manhattan hotel and dreams of a better life for her and her young son. One fateful day, hotel guest and senatorial candidate Christopher Marshall meets Marisa and mistakes her for a wealthy socialite. After an enchanting evening together, the two fall madly in love. But when Marisa's true identity is revealed, issues of class and social status threaten to separate them. Can two people from very different worlds overcome their differences and live happily ever after?",99906693,/a0xOVDKEWW1nyArKFS3Fg1b4PsE.jpg
414,7304,Running Scared,"['Action', 'Crime', 'Drama', 'Thriller']",2006,122,7.0,1015,Wayne Kramer,"['Paul Walker', 'Cameron Bright', 'Vera Farmiga', 'Chazz Palminteri']","A low-ranking thug is entrusted by his boss to dispose of a gun that killed corrupt cops, but things spiral out of control when the gun ends up in wrong hands.",-7500000,/wVlwZbwJlI5C33STslTyVNRGjg6.jpg
415,7345,There Will Be Blood,['Drama'],2007,158,8.082,6506,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', ""Kevin J. O'Connor"", 'Ciarán Hinds']","Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",52208711,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg
416,7445,Brothers,"['Drama', 'Thriller', 'War']",2009,105,7.32,3536,Jim Sheridan,"['Tobey Maguire', 'Jake Gyllenhaal', 'Natalie Portman', 'Sam Shepard']","When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",17500000,/skHqceAFYee0JZuYd9MVk2IQggi.jpg
417,7446,Tropic Thunder,"['Action', 'Comedy', 'Adventure', 'War']",2008,107,6.677,6090,Ben Stiller,"['Ben Stiller', 'Robert Downey Jr.', 'Jack Black', 'Jay Baruchel']","A group of self-absorbed actors set out to make the most expensive war film ever. After ballooning costs force the studio to cancel the movie, the frustrated director refuses to stop shooting, leading his cast into the jungles of Southeast Asia, where they encounter real bad guys.",103702811,/zAurB9mNxfYRoVrVjAJJwGV3sPg.jpg
418,7459,Speed Racer,"['Family', 'Action', 'Adventure', 'Comedy']",2008,135,6.3,1524,Lana Wachowski,"['Emile Hirsch', 'Christina Ricci', 'John Goodman', 'Susan Sarandon']","Speed Racer is a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, Speed must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities.",-26100000,/x800OyHuJ9JDuhHLtdPLkH1vBjw.jpg
419,7484,Open Season,"['Animation', 'Family', 'Adventure', 'Comedy']",2006,86,6.154,2705,Jill Culton,"['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing']","Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",112300000,/w5Lctmkc1yah215Luxmci4djaiW.jpg
